"popularity","duration_ms","explicit","danceability","tempo","genre_numeric","popularity_artist"
35,295160,0,0.364,73.397,101,35
24,422746,0,0.478,85.996,19,24
21,208493,1,0.531,115.013,23,21
54,406346,0,0.414,143.957,5,54
58,515387,0,0.36,144.004,5,58
63,299365,0,0.438,136.147,114,63
55,376093,0,0.318,90.336,5,55
29,147119,0,0.559,131.529,46,29
42,200766,0,0.52,139.989,30,42
31,300000,0,0.6,119.546,70,31
31,394680,0,0.476,76.54,17,31
70,250722,1,0.644,132.001,68,70
27,325760,0,0.663,123.941,108,27
23,132867,1,0.424,72.883,19,23
11,141505,0,0.685,123.06,53,11
40,157165,0,0.641,96.865,75,40
29,202187,0,0.372,104.733,49,29
67,225273,0,0.718,97.979,52,67
0,264360,0,0.62,92.421,65,0
72,208155,0,0.444,104.745,32,72
65,211533,0,0.355,90.495,65,65
56,168268,1,0.685,79.982,95,56
74,288533,0,0.53,166.312,48,74
44,258265,0,0.637,130.01,101,37.3333333333333
34,210169,0,0.643,129.986,101,37.3333333333333
34,273266,0,0.47,152.885,101,37.3333333333333
35,334866,0,0.674,98.014,101,35
62,211448,0,0.774,125.012,44,62
27,217355,0,0.509,94,62,33.6666666666667
27,247193,0,0.457,140.134,62,33.6666666666667
47,239131,0,0.449,101.04,62,33.6666666666667
61,230586,0,0.524,152.044,4,30.5
0,245173,0,0.535,134.577,4,30.5
28,481655,0,0.582,145.02,111,28
44,251668,0,0.759,129.794,10,44
4,326960,0,0.802,123.94,21,2
0,213613,0,0.648,153.67,21,2
18,164440,0,0.509,82.866,61,18
80,188343,1,0.782,129.992,32,80
17,260958,0,0.366,98.247,18,17
63,197789,0,0.696,142.019,66,59
55,210268,0,0.563,139.939,66,59
15,358114,0,0.462,175.033,28,15
21,255426,0,0.588,125.967,83,21
13,166956,0,0.893,137.995,67,13
53,259934,0,0.824,113.995,110,53
25,212213,0,0.544,106.486,110,25
46,223098,0,0.582,142.022,29,46
36,141241,0,0.859,87.009,106,36
51,252333,1,0.359,149.026,73,51
59,201680,0,0.457,154.038,9,59
0,188600,0,0.286,106.342,72,0
56,187133,0,0.452,113.071,45,19
1,217200,0,0.359,73.368,4,19
0,217200,0,0.359,73.368,9,19
